#n_{sat}	#E_{sat}	#K_{sat}	#J_{sym}	#L_{sym}	#m^*/m
0.149854	-16.024908	226.363693	33.653519	63.784374	0.728999
0.143132	-15.865715	282.016022	30.751808	55.208401	0.718237
0.153235	-15.837884	258.125671	32.191216	57.028233	0.668762
0.150209	-16.042522	246.750290	31.579870	51.658817	0.743081
0.143732	-15.857355	259.722565	33.187485	57.383717	0.741940
0.149686	-16.073891	212.066666	31.085392	51.307404	0.649622
0.158526	-16.128212	208.588394	29.303450	48.436626	0.603540
0.152068	-16.073589	246.914810	31.139103	42.171669	0.718978
0.158335	-16.147585	234.824905	31.494844	41.719368	0.743231
0.148343	-15.810632	261.687744	33.189606	58.349388	0.677436
0.163991	-16.030439	299.389343	33.808109	62.546429	0.671616
0.158551	-15.851904	259.412476	29.218151	44.632076	0.658451
0.162041	-16.137291	220.831833	32.003994	45.581680	0.697236
0.162332	-16.088604	271.582947	33.687714	60.473541	0.689532
0.147347	-16.048803	281.688416	30.108934	41.333782	0.720243
0.154214	-15.803819	290.715149	30.880390	52.441772	0.654487
0.141765	-15.954337	276.702118	31.088753	52.527615	0.737732
0.140780	-16.167542	249.294632	31.472864	46.110317	0.723887
0.160029	-15.868416	287.794342	33.863132	67.693680	0.734510
0.155849	-16.042582	249.208923	32.262909	55.019936	0.663030
0.160695	-16.054630	292.510162	33.848759	65.590195	0.656376
0.147325	-15.984091	289.940308	32.974781	51.460934	0.727568
0.150788	-16.190916	200.310089	33.280247	57.800785	0.642734
0.143882	-15.998873	271.343994	31.560862	43.896198	0.743852
0.143318	-15.987587	264.986298	32.465008	59.100834	0.696440
0.145894	-16.023317	215.581116	33.558788	68.534561	0.745999
0.155544	-16.099810	270.779144	32.765270	62.027885	0.728294
0.164260	-16.177244	284.805573	31.810194	44.908405	0.679484
0.165144	-15.917791	229.763626	31.775484	53.895050	0.624641
0.148844	-16.044819	249.697525	31.772234	49.812550	0.694281
0.154268	-15.947621	237.352585	33.088314	53.286549	0.719645
0.140554	-15.980008	250.084534	30.271820	45.602493	0.737739
0.148911	-16.051994	239.100815	33.700798	64.433472	0.707575
0.169078	-15.960697	224.483704	32.165325	60.846912	0.592488
0.147935	-16.173401	277.889435	31.106615	52.385677	0.722335
0.151258	-16.198408	291.040039	31.084072	48.636189	0.722550
0.161181	-15.943769	271.744354	31.794300	46.054169	0.712098
0.159843	-15.816569	206.334641	32.214779	45.798157	0.662325
0.154892	-16.019579	200.039673	32.161507	50.579533	0.663781
0.149482	-15.962109	203.368942	31.999880	45.274902	0.709775
0.147051	-16.081446	252.437943	33.055077	64.321060	0.682792
0.154312	-16.083239	289.992310	31.013924	42.645958	0.679280
0.145662	-15.871768	242.428070	31.067261	40.347347	0.745517
0.148476	-15.976911	222.435425	33.698383	65.012611	0.645983
0.154367	-15.940983	287.460236	31.174280	52.765789	0.676328
0.149757	-16.049147	285.818298	30.494253	40.248634	0.748669
0.158823	-15.910904	222.547180	30.219257	40.883720	0.735663
0.150225	-15.866663	243.057343	33.584702	61.801075	0.723856
0.165378	-15.800202	203.395248	30.836517	43.577030	0.729261
0.162292	-16.077108	283.058533	30.892691	48.231346	0.612154
0.155626	-15.933333	279.294006	33.026012	68.536438	0.662789
0.168310	-15.945974	251.218643	30.312813	53.162766	0.598124
0.169188	-16.103466	281.765198	32.556389	45.030590	0.701306
0.152511	-15.953066	288.030731	28.659595	40.238945	0.685538
0.158253	-15.877621	205.765366	29.895103	51.584972	0.607936
