#n_{sat}	#E_{sat}	#K_{sat}	#J_{sym}	#L_{sym}	#m^*/m
0.157053	-15.924029	212.987625	33.711777	59.557163	0.669701
0.152258	-15.821236	225.478424	33.767403	67.047363	0.734768
0.146039	-16.064222	226.274796	33.451321	66.672783	0.693529
0.165570	-15.815356	208.448334	33.753437	64.614983	0.708730
0.155998	-15.817019	222.393082	33.204685	62.939045	0.727358
0.158158	-16.099236	211.477188	32.952583	60.380306	0.679979
0.162867	-16.159672	222.375427	33.695301	55.998146	0.677603
0.160558	-16.192633	228.070557	33.637863	61.785984	0.717466
0.140382	-15.938821	232.286377	31.879425	62.819527	0.747242
0.168459	-16.074259	225.301636	33.979660	59.698174	0.687913
0.167050	-15.874056	207.078934	33.481373	56.905899	0.707524
0.142904	-15.971667	207.376114	32.997288	58.028881	0.703694
0.150351	-16.084797	202.196762	32.493187	58.821838	0.713871
0.169918	-16.046038	206.692352	33.684563	56.947605	0.701780
0.144651	-16.164671	201.252335	33.080082	61.634357	0.741852
0.156160	-16.152700	203.047714	33.905365	66.636505	0.672154
0.166635	-16.043079	222.143555	33.402973	61.124435	0.694527
0.146384	-16.095984	220.696915	33.379673	68.055534	0.705961
0.165327	-15.825974	211.604630	33.757576	61.984512	0.675808
0.166347	-16.168291	210.377518	33.720310	57.285854	0.677777
0.149141	-16.112705	210.294479	33.797459	63.332405	0.728868
0.163474	-16.176250	226.824127	32.887047	59.240643	0.707626
0.159726	-15.933096	204.119141	31.996967	55.265026	0.697947
0.145473	-15.997034	219.280594	33.348042	57.816448	0.696734
0.149707	-16.081217	207.247543	33.711208	61.553101	0.734587
0.152562	-15.873973	220.668518	33.876892	60.879169	0.691747
0.145591	-15.801805	213.744766	32.736416	58.035236	0.703060
0.167253	-15.808640	213.825577	32.183399	55.233189	0.682250
0.142393	-16.036613	207.246841	32.205452	59.997574	0.723159
0.166783	-15.806776	200.686844	32.860912	56.631168	0.662964
0.149775	-16.121605	209.184784	33.910789	64.563957	0.724835
0.150469	-16.115765	204.301941	33.315262	62.896633	0.730888
0.145081	-15.883179	207.824417	32.724808	59.735649	0.717799
0.147055	-16.180857	224.222488	33.630077	61.997784	0.713251
0.162029	-15.851179	217.274338	33.720379	57.075974	0.696134
0.140750	-16.154379	235.963562	32.229923	62.785530	0.727386
0.144567	-15.903352	227.591019	32.225098	62.440720	0.728679
0.154339	-15.806841	215.019897	32.019051	57.828152	0.692864
0.147758	-16.151871	220.295959	33.603081	61.705044	0.720214
0.146768	-15.841798	227.318207	33.552322	64.306969	0.724028
0.155147	-15.960194	205.882294	31.986116	57.765274	0.659099
0.157895	-15.998280	214.788971	32.269470	55.362122	0.667164
0.151718	-15.972777	205.995636	32.654938	57.245537	0.709249
0.147137	-16.112595	233.067291	33.404579	68.975975	0.734389
0.152651	-15.897430	216.543732	32.856979	63.043228	0.715860
0.167062	-15.966955	213.035858	33.155762	55.864368	0.675419
0.155951	-15.896610	204.343048	33.721199	65.325096	0.677259
0.151259	-16.027813	228.273605	33.240364	65.143639	0.737921
0.161042	-15.834761	220.903137	33.307823	62.119411	0.690308
0.159419	-15.819071	220.264816	32.838764	58.663441	0.706253
0.163587	-15.920424	214.776886	33.907734	59.001873	0.698162
0.147696	-16.154575	201.357864	33.929325	62.663319	0.725158
0.159455	-16.045471	220.036530	33.908527	64.434410	0.723630
0.144946	-16.140444	225.868881	33.277710	65.139236	0.725052
0.149421	-15.977131	215.602539	33.221546	64.608818	0.738968
0.168751	-16.027275	213.367783	33.851898	54.663208	0.668239
0.147803	-15.940729	206.016205	33.842972	66.995148	0.730224
0.162354	-15.832840	212.763336	33.699482	60.426670	0.710268
0.167683	-16.056471	207.656799	32.525364	56.325455	0.675837
0.142957	-15.991843	218.917877	32.796127	67.489075	0.695581
0.150244	-16.124912	209.608719	33.411903	62.069561	0.695015
0.153432	-15.834433	210.151627	33.559471	61.496170	0.692577
0.150260	-15.996513	232.511139	33.656776	65.733124	0.739188
0.151297	-16.009600	228.552887	33.534103	63.197922	0.730917
0.149605	-16.047537	221.116653	33.713188	64.144249	0.737681
0.155570	-15.872129	219.383820	32.284710	60.083035	0.684573
0.154523	-15.871312	222.492645	33.727867	61.107395	0.720828
0.168160	-16.145363	200.230896	33.395763	56.536873	0.681248
0.156308	-15.930952	212.279556	32.720116	59.013168	0.721400
0.160995	-16.086807	216.893234	33.886814	64.249191	0.684907
0.154579	-15.906418	200.090652	33.020359	57.015747	0.657252
0.162681	-15.871818	202.129395	32.656635	54.887005	0.679753
0.152775	-15.800564	205.659912	32.170040	58.769455	0.699753
0.151665	-15.810620	205.303421	33.884556	57.786015	0.690141
0.157901	-15.965756	207.218674	33.247501	57.980381	0.713410
0.152412	-15.841384	226.259476	33.843800	66.131157	0.711068
0.149257	-15.995730	221.743805	33.470413	55.938667	0.682825
0.151841	-15.984587	204.189346	32.744465	60.552975	0.721942
0.158748	-15.935668	212.451645	32.728901	57.872326	0.673081
0.164754	-16.024845	227.160568	33.827969	60.090858	0.701834
0.156652	-15.974761	203.500198	33.591900	66.134155	0.690904
0.145209	-15.900333	213.117004	33.087307	68.573936	0.727621
0.153692	-16.175156	217.532303	33.748737	65.501274	0.698754
0.153471	-16.163420	204.791748	32.642273	59.637432	0.657814
0.163272	-15.973218	203.459549	33.758289	59.735146	0.683219
0.160071	-15.939855	209.180206	33.449928	60.582520	0.668535
0.163122	-16.157988	218.512726	33.798798	59.345818	0.711702
0.156140	-16.012806	215.934280	33.899265	65.207153	0.700573
0.155565	-16.061838	218.844910	32.558914	59.533386	0.696597
0.147359	-15.834097	232.079819	33.645126	65.600784	0.734948
0.159612	-15.865692	226.344406	33.299393	65.417625	0.707763
0.154458	-16.199825	200.097916	32.701427	55.165470	0.656444
0.165412	-16.028225	228.222061	33.711643	59.047535	0.711831
0.146365	-16.103235	225.615891	33.264534	64.820656	0.707936
0.147238	-16.164501	212.657745	32.161430	58.732224	0.715197
0.150863	-15.808475	212.027908	32.741070	61.244144	0.734721
0.162234	-15.985807	213.343735	33.132786	59.146938	0.694481
0.166971	-15.997769	201.483521	33.971008	59.372364	0.710961
0.157274	-16.026230	211.323166	33.594612	63.350880	0.705373
